Date,Time,Dry_Bulb _C_22
11/9/2019,16:00:00,8.191201172
11/9/2019,20:00:00,8.105400391
11/10/2019,0:00:00,8.105400391
11/10/2019,4:00:00,8.105400391
11/10/2019,8:00:00,8.0625
11/10/2019,12:00:00,8.105400391
11/10/2019,16:00:00,8.019599609
11/10/2019,20:00:00,7.933798828
11/11/2019,0:00:00,7.847998047
11/11/2019,4:00:00,7.805097656
11/11/2019,8:00:00,7.719296875
11/11/2019,12:00:00,7.676396484
11/11/2019,16:00:00,7.633496094
11/11/2019,20:00:00,7.633496094
11/12/2019,0:00:00,7.547695313
11/12/2019,4:00:00,7.461894531
11/12/2019,8:00:00,7.461894531
11/12/2019,12:00:00,7.37609375
11/12/2019,16:00:00,7.290292969
11/12/2019,20:00:00,7.290292969
11/13/2019,0:00:00,7.247392578
11/13/2019,4:00:00,7.161591797
11/13/2019,8:00:00,7.075791016
11/13/2019,12:00:00,7.118691406
11/13/2019,16:00:00,6.989990234
11/13/2019,20:00:00,6.989990234
11/14/2019,0:00:00,6.947089844
11/14/2019,4:00:00,6.861289063
11/14/2019,8:00:00,6.861289063
11/14/2019,12:00:00,6.818388672
11/14/2019,16:00:00,6.861289063
11/14/2019,20:00:00,6.861289063
11/15/2019,0:00:00,6.818388672
11/15/2019,4:00:00,6.818388672
11/15/2019,8:00:00,6.861289063
11/15/2019,12:00:00,6.861289063
11/15/2019,16:00:00,6.775488281
11/15/2019,20:00:00,6.775488281
11/16/2019,0:00:00,6.646787109
11/16/2019,4:00:00,6.646787109
11/16/2019,8:00:00,6.560986328
11/16/2019,12:00:00,6.560986328
11/16/2019,16:00:00,6.475185547
11/16/2019,20:00:00,6.475185547
11/17/2019,0:00:00,6.389384766
11/17/2019,4:00:00,6.346484375
11/17/2019,8:00:00,6.303583984
11/17/2019,12:00:00,6.260683594
11/17/2019,16:00:00,6.260683594
11/17/2019,20:00:00,6.260683594
11/18/2019,0:00:00,6.260683594
11/18/2019,4:00:00,6.174882813
11/18/2019,8:00:00,6.217783203
